date,Cass Saddle Agriculture Exchange Traded Fund,Datvest Modified Consumer Staples Exchange Traded Fund,Morgan & Co Made in Zimbabwe Exchange Traded Fund,Morgan & Co Multi Sector Eexchange Traded Fund Trust,Old Mutual Zse Top 10 Etf,,,,,
04 06 2024,0.8,1.9908,0.85,38.0139,10.9907,,,,,
05 06 2024,0.8015,1.97,0.85,38,10.989,0.85,0.8015,38,10,
06 06 2024,1.97,0.8015,1.9,,,,,,,
07 06 2024,38,0.85,10.3863,,,,,,,
10 06 2024,0.85,38,10.565,0.8015,1.9,,,,,
11 06 2024,0.85,38,10.6,1.9,0.8015,0.8015,0.85,10.4968,2,38
12 06 2024,,,,,,,,,,
,0.8015,42,10.8555,2,,,,,,
13 06 2024,0.85,2,42,10.86,,,,,,
14 06 2024,0.8015,0.85,2,42,0.8015,,,,,
17 06 2024,0.8015,2,0.85,42,11,,,,,
18 06 2024,0.8015,2,0.85,42,11,,,,,
19 06 2024,0.92,2,0.85,42,11,,,,,

2024-6-19,0.9200,2.0000,0.8500,42.0000,11.0000
2024-6-20,0.9200,2.0000,0.8500,42.0000,11.0000