date,All Share,Top 10,Top 15,Small Cap,Medium Cap
28 05 2024,100.26,101.29,101.18,100,99.6
29 05 2024,102.14,104.14,103.76,100,99.35
30 05 2024,100.78,101.97,101.79,100,100.24
31 05 2024,101.07,102.39,102.17,100,100.18
04 06 2024,105.11,107.89,104.14,100,101.65
05 06 2024,106.17,109.37,108.54,100,102.25
06 06 2024,109.63,100,104.45,106.83,109.06
07 06 2024,106.1,108.19,100,105.28,108.94
10 06 2024,107.81,100,106.43,108.37,105.82
11 06 2024,108.81,100,109.32,106.46,106.52
12 06 2024,106.51,100,109.07,108.58,106.95
,110.03,,,,
13 06 2024,113.11,100,109.16,113.74,114.62
14 06 2024,100,113.92,110.7,109.53,115.63
17 06 2024,114.56,111.08,100,109.17,
18 06 2024,112.15,116.39,115.57,100,114.07
19 06 2024,113.78,118.77,117.33,100,110.3

2024-6-19,113.78,118.77,117.33,100.00,110.30