date,ZSE Financials Index,ZSE Consumer Discretionary Index,ZSE Consumers Staples Index,ZSE Industrials Index(New),ZSE ICT,ZSE Materials,ZSE Real Estate,Modified Consumer Staples,ZSE Agriculture,ZSE ETF,ZNSMI Index,,,,,,
28 05 2024,97.95,115.87,102.33,98.9,91.34,97.42,130.89,101.87,87.7,107.25,92.33,,,,,,
29 05 2024,97.97,115.87,107.88,96.54,87.77,97.62,132.23,105.4,87.71,107.25,93.62,,,,,,
30 05 2024,98.18,115.87,107.75,96.54,79.37,97.6,132.43,104.03,85.99,107.36,92.65,,,,,,
31 05 2024,98.16,115.87,107.07,96.54,83.3,97.6,131.42,104.33,85.99,107.36,93.12,,,,,,
04 06 2024,98.97,115.87,109.9,98.88,98.29,97.63,132.1,113.43,91.37,107.32,96.05,,,,,,
05 06 2024,99,115.87,111.27,98.82,101.04,96.81,132.09,115.04,93.19,107.25,96.48,99.16,,,,,
06 06 2024,114.06,98.86,96.95,97.84,132.13,117.98,97.02,105.02,97.1,115.87,115.87,,,,,,
07 06 2024,90.9,132.18,119.45,95.19,105.73,96.65,98.58,114.68,100.95,96.06,,,,,,,
10 06 2024,98.72,101.15,117.34,86.65,115.21,136.37,120.09,95.09,93.95,96.61,106.13,,,,,,
11 06 2024,99.87,117.08,95.43,135.65,106.21,96.72,94.68,84.36,122.24,99.73,119.54,117.5,136.39,122.56,95.93,106.21,96.43
12 06 2024,119.54,99.85,101.29,82.28,95.54,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
13 06 2024,123.73,101.3,97.21,138.48,129.68,96.15,114.57,98.7,100.43,134.24,83.56,134.24,,,,,
14 06 2024,85.24,139.12,130.75,100.13,96.15,114.58,99.34,124.66,101.3,100.08,,,,,,,
14 06 2024,100.08,134.24,124.66,101.3,85.24,100.13,139.12,130.75,96.15,114.58,99.34,,,,,,
17 06 2024,104.32,137.48,130.18,94.72,114.9,99.05,102.94,134.24,123.7,100.68,86.01,,,,,,
18 06 2024,103.38,130.9,125,100.69,88.28,108.69,137.31,131.5,95.23,114.9,99.57,,,,,,
19 06 2024,102.6,134.24,126.65,100.69,94.51,108.92,136.65,133.17,96.97,114.97,100.94,,,,,,

2024-6-19,102.60,134.24,126.65,100.69,94.51,108.92,136.65,133.17,96.97,114.97,100.94